Method,Batch_Distance_Aitchison,Batch_Distance_Bray,NMDS_Stress_Aitchison,NMDS_Stress_Bray,Score_Aitchison,Score_Bray,Combined_Score,Rank
debias,0.12081289298705195,0.14710605980486538,0.14017296616745084,0.12565948589747294,0.6894423124419201,0.7117651940362812,0.7005148401654641,1
combatseq,0.2072207854789754,0.205700083309465,0.13263003387616457,0.14068961626355822,0.6798056731785015,0.6636540805470401,0.6716813299355134,2
metadict,0.26571251282534947,0.3771823479709328,0.13252836903300702,0.16964798724191493,0.6641137327059348,0.5616975371208657,0.610762677337989,3
pn,0.34253526535439555,0.47835188002648404,0.16620704897862784,0.14834640645554684,0.576359077899455,0.5847588677556231,0.5805437811338265,4
fabatch,0.6383862691003614,0.7070326536979894,0.15415909669431935,0.14757571360226254,0.5447169577393813,0.5455637972179552,0.5451402130400117,5
Before correction,0.9484663318271769,0.9396413276400619,0.16601633957581174,0.21135934170152132,0.4787610810543826,0.3902969383497672,0.43227188682188233,6
