Method,Batch_Distance_Aitchison,Coverage_Aitchison,Score_Aitchison,Batch_Distance_Bray,Coverage_Bray,Score_Bray,Combined_Score,Rank
debias,0.7916080316537679,0.4207,0.23481698706812965,0.01698536038624955,0.3725,0.36627862554336577,0.2932719612877249,1
combatseq,1.550168977228344,0.42950000000000005,0.16842021208602537,0.024287632855999566,0.3359,0.32793522954428056,0.23501259734390229,2
metadict,1.6153191332601753,0.4146,0.15852749850958825,0.0785386514574626,0.3315000000000001,0.3073603338666017,0.22073754748330482,3
fabatch,5.432506826670152,0.45019999999999993,0.0699882661816078,0.10629355342232157,0.337,0.30462077534257503,0.1460132867554316,4
pn,2.2929763422425506,0.31370000000000003,0.09526336280520228,0.08930177579425663,0.2386,0.21903939321683974,0.14445216919329099,5
Before correction,8.838862830579162,0.4139,0.04206786974543438,0.20144563037112606,0.3974,0.3307681928788099,0.1179606428176724,6
