Method,EBM,CI95_lo,CI95_hi,Rank
metadict,0.966768908732493,0.9666409230084114,0.9668968944565746,1
debias,0.9660655244554528,0.9659507445594118,0.9661803043514938,2
combatseq,0.9624585657715593,0.962354452514239,0.9625626790288796,3
pn,0.960783692644157,0.9605119719567952,0.9610554133315188,4
fabatch,0.8857146716111153,0.8849270331156323,0.8865023101065983,5
Before correction,0.8755168181630582,0.8747980340096085,0.8762356023165078,6
