Abiotrophia,Acetitomaculum,Acidaminobacter,Actinobaculum,Actinotignum,Aggregatibacter,Akkermansia,Alkalibacter,Alloprevotella,Alloscardovia,Anaeroglobus,Anaeroplasma,Anaerosolibacter,Anaerostipes,Anaerovorax,Arcobacter,Arthrobacter,Azorhizophilus,Bavariicoccus,Bifidobacterium,Brachyspira,Bulleidia,Butyrivibrio,Carnobacterium,Catabacter,Cedecea,Christensenella,Cloacibacterium,Clostridium.XI,Clostridium.XlVb,Coriobacterium,Cosenzaea,Cronobacter,Desulfohalobium,Dysgonomonas,Erwinia,Erysipelothrix,Erysipelotrichaceae_incertae_sedis,Facklamia,Falsiporphyromonas,Finegoldia,Fusicatenibacter,Gardnerella,Geopsychrobacter,Haemophilus,Herbaspirillum,Howardella,Hungatella,Intestinibacter,Kandleria,Lactococcus,Lawsonia,Leclercia,Lelliottia,Mangrovibacter,Mangrovibacterium,Melissococcus,Meniscus,Mesorhizobium,Methanobrevibacter,Methanosphaera,Methylobacterium,Mobiluncus,Moellerella,Natranaerovirga,Neisseria,Obesumbacterium,Odoribacter,Oscillibacter,Parabacteroides,Parvimonas,Pelomonas,Pelospora,Peptostreptococcus,Pilibacter,Piscinibacter,Plesiomonas,Porphyromonas,Propionispora,Providencia,Pseudomonas,Pseudoramibacter,Pseudoxanthomonas,Puniceicoccus,Ralstonia,Renibacterium,Romboutsia,Rosenbergiella,Rothia,Samsonia,Schwartzia,Sharpea,Sphingomonas,Sporacetigenium,Subdoligranulum,Sutterella,Tepidimicrobium,Terrisporobacter,Varibaculum,Victivallis
0,8,0,0,0,0,1735,0,11,0,0,0,0,243,69,0,0,0,0,1454,0,0,46,0,49,0,17,0,0,72,1,0,0,0,0,0,0,2,0,0,0,1101,2,0,6,0,157,6,216,0,0,5,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,466,5443,1652,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,14,1368,0,36,0,508
0,1,0,0,0,0,5,0,6,0,143,0,0,89,26,0,0,0,0,14728,0,0,15,0,10,0,0,0,0,55,0,0,0,0,0,0,0,13,0,0,3,8949,19,0,3,0,255,11,94,0,14,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1458,1197,3746,0,0,0,0,5,0,0,5,0,0,0,7,0,0,0,0,78,0,0,0,0,0,0,0,71,1737,0,119,0,1
0,1,0,0,0,2,20,0,13,0,0,0,0,354,67,0,0,0,0,782,0,0,587,0,0,0,4,0,0,16,0,0,0,0,0,0,0,7,0,0,0,5758,3,0,971,0,0,17,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,1124,2415,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,18,0,2,0,0,0,0,0,3,28,0,0,0,0
0,0,0,1,0,0,2,0,12597,0,28,0,0,35,0,0,0,0,0,1414,0,1,62,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,49,0,0,23,0,25,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,97,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1185,0,5,0,0
1,0,0,0,0,15,9,0,991,0,10,0,0,73,11,0,0,0,0,1085,0,0,445,7,0,0,1,0,0,232,4,0,0,0,0,0,0,0,0,0,0,451,8,0,962,0,73,6,0,0,72,0,2,0,1,0,5,0,0,0,0,0,0,0,0,3,0,204,653,1068,5,0,0,3,20,0,0,7,0,0,5,0,0,0,0,0,4,0,11,0,1,0,0,0,8,5986,0,0,0,7
0,4,0,0,0,0,629,0,8,0,0,0,0,154,1,0,0,0,0,4875,0,0,1,0,0,0,0,0,1,975,1,0,0,0,0,0,0,48,0,0,0,17,10,0,4,0,1,77,118,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,347,12495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,16,31,0,0,0,0
0,1,0,0,0,0,936,0,14,0,0,0,0,166,0,0,0,0,0,4379,0,0,878,0,0,0,0,0,0,97,1,0,0,0,0,0,0,9,0,0,0,8,3,0,16,0,0,45,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,279,2873,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7929,0,0,0,0
0,2,0,0,0,0,6,0,32,0,2,0,0,39,0,0,0,0,0,1,0,0,171,0,0,0,17,0,0,74,1,0,0,0,0,0,0,0,0,0,0,901,0,0,26,0,0,6,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,951,946,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,6,3,0,0,0,0
0,3,0,0,0,0,1,0,6,0,0,0,0,99,0,0,0,0,0,592,0,0,1,0,0,0,0,0,1,237,6,0,4,0,0,40,0,11,0,0,0,150,0,0,0,0,0,31,0,0,0,0,63,0,9,0,1,1,0,0,0,0,0,0,0,0,0,3,126,6423,0,0,0,0,4,0,0,29,0,0,0,0,0,0,0,0,415,8,32,7,0,0,0,1,1,3712,0,309,0,0
0,6,1,0,0,1,22,0,4,0,0,0,0,180,32,0,0,0,0,5641,0,0,209,0,1,0,11,0,0,150,2,0,0,0,0,0,0,3,0,0,0,788,2,0,169,1,86,5,46,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,882,2334,1834,0,0,3,0,3,0,0,4,0,0,13,0,0,0,0,0,26,1,0,0,0,0,0,0,11,1615,0,3,0,925
