Abiotrophia,Acetitomaculum,Acidaminobacter,Actinobaculum,Actinotignum,Aggregatibacter,Akkermansia,Alkalibacter,Alloprevotella,Alloscardovia,Anaeroglobus,Anaeroplasma,Anaerosolibacter,Anaerostipes,Anaerovorax,Arcobacter,Arthrobacter,Azorhizophilus,Bavariicoccus,Bifidobacterium,Brachyspira,Bulleidia,Butyrivibrio,Carnobacterium,Catabacter,Cedecea,Christensenella,Cloacibacterium,Clostridium.XI,Clostridium.XlVb,Coriobacterium,Cosenzaea,Cronobacter,Desulfohalobium,Dysgonomonas,Erwinia,Erysipelothrix,Erysipelotrichaceae_incertae_sedis,Facklamia,Falsiporphyromonas,Finegoldia,Fusicatenibacter,Gardnerella,Geopsychrobacter,Haemophilus,Herbaspirillum,Howardella,Hungatella,Intestinibacter,Kandleria,Lactococcus,Lawsonia,Leclercia,Lelliottia,Mangrovibacter,Mangrovibacterium,Melissococcus,Meniscus,Mesorhizobium,Methanobrevibacter,Methanosphaera,Methylobacterium,Mobiluncus,Moellerella,Natranaerovirga,Neisseria,Obesumbacterium,Odoribacter,Oscillibacter,Parabacteroides,Parvimonas,Pelomonas,Pelospora,Peptostreptococcus,Pilibacter,Piscinibacter,Plesiomonas,Porphyromonas,Propionispora,Providencia,Pseudomonas,Pseudoramibacter,Pseudoxanthomonas,Puniceicoccus,Ralstonia,Renibacterium,Romboutsia,Rosenbergiella,Rothia,Samsonia,Schwartzia,Sharpea,Sphingomonas,Sporacetigenium,Subdoligranulum,Sutterella,Tepidimicrobium,Terrisporobacter,Varibaculum,Victivallis
0,0.000763136,0,0,0,0,0.001179412,0,0.208685999,0,0,0,0,0.101776052,0.000416264,0,0,0,0,0.000624396,0,0,0.019564316,0,6.93948975985624e-05,0,0.000693772,0,0,0.01644235,0.000208108,0,0,0,0,0,0,0.000277508,0,0,0,0.131677536,0,0,0,0,0,0.002913839,6.93803767997529e-05,0,0.011308449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000346888,0.088316916,0.182461496,0,0,0,0,0.000763134,0,0,0,0,0,0,0,0,0,0,0,0.000208133,0,0,0,0,0,0,0,0.002497573,0.228597196,0,0.000138753,0,0
0,0.003090481,0,0,0,0,0.125890397,0,0.003303768,0,0,0,0,0.019800345,0.007427926,0,0,0,0,0.10590963,0,0,0.005792476,0,0.006005775,0,0.003730395,0,0,0.007641231,0.002592915,0,0,0,0,0,0,0.002663836,0,0,0,0.080809236,0.002663749,0,0.002948238,0,0.013685213,0.002948229,0.017880492,0,0,0.002877218,0,0,0,0.002534309,0,0,0,0.009845517,0,0,0,0,0,0,0,0.035656967,0.389551199,0.119988605,0,0.002540228,0,0,0,0.002531284,0,0,0,0,0,0,0,0.002538816,0,0,0.005508062,0,0,0,0,0,0.002538042,0,0.003517096,0.09979452,0,0.00508142,0,0.038643419
0,0.00054792,0,0,0,0,0.000671343,0,0.000702195,0,0.004928956,0,0,0.003262936,0.001319232,0,0,0,0,0.454909637,0,0,0.000979866,0,0.000825615,0,0,0,0,0.002213959,0,0,0,0,0,0,0,0.000918154,0,0,0.000609895,0.276614242,0.001103241,0,0.000609638,0,0.008384391,0.000856452,0.003417199,0,0.000949014,0,0.000763931,0,0,0.000527849,0.000548477,0,0,0,0,0,0,0,0,0,0,0.045499723,0.037447275,0.116089767,0,0,0,0,0.000671314,0,0,0.000671182,0,0,0,0.000731472,0,0,0,0,0.00292357,0,0,0,0,0,0,0,0.002707596,0.054107513,0,0.004188512,0,0.000547936
0,0.002606572,0,0,0,0.002682622,0.004052818,0,0.003519998,0,0,0,0,0.029475933,0.007630315,0,0,0,0,0.062054058,0,0,0.047211221,0,0,0,0.002834942,0.002545719,0,0.00374835,0,0,0,0,0,0,0,0.003063262,0.002534548,0,0,0.440812817,0.002758836,0,0.07644019,0,0,0.003824471,0.013034639,0,0,0,0,0,0,0,0,0.002535859,0,0,0,0,0,0,0,0,0,0.112748056,0.088086111,0.186353305,0,0,0,0,0.00275877,0,0,0,0,0,0.002682685,0,0,0,0,0,0.003900581,0,0.002682741,0,0,0,0,0,0.002758828,0.004661754,0,0,0,0
0,0,0,6.09940653419296e-05,0,0,0.000127223,0,0.798795091,0,0.001775919,0,0,0.002219803,0,0,0,0,0,0.089664264,0,6.39360323544486e-05,0.003931915,0,0,0,0,0,0,0.000317459,0,0,0,0,0,0,0,0,0,0,0,0.003107564,0,0,0.001458864,0,0.001585663,0.000380867,0,5.87361961616415e-05,0.00012722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001141807,0.006151316,0.009195068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004375795,0.07514303,0,0.000317466,0,0
7.88172730953243e-05,0,0,0,0,0.001204954,0.000723003,0,0.079604825,0,0.000803327,0,0,0.005863978,0.000883658,0,0,0,0,0.087155631,0,0,0.03574589,0.00056167,0,0,8.03861783608508e-05,0,0,0.018636085,0.000321438,0,0,0,0,0,0,0,0,0,0,0.036227856,0.000642794,0,0.07727532,0,0.00586396,0.000482013,0,0,0.005783648,0,0.000160756,0,8.00888512183093e-05,0,0.00040221,0,0,0,0,0,0,0,0,0.000240947,0,0.016386909,0.052454055,0.085790059,0.000401632,0,0,0.000240834,0.001606576,0,0,0.00056237,0,0,0.000401603,0,0,0,0,0,0.000321381,0,0.00088396,0,8.05475530555365e-05,0,0,0,0.000642675,0.480841792,0,0,0,0.00056235
0,0.000959088,0,0,0,0,0.033003425,0,0.001164177,0,0,0,0,0.008649733,0.000805281,0,0,0,0,0.250699796,0,0,0.00080528,0,0,0,0,0,0.000805306,0.050743164,0.00080527,0,0,0,0,0,0,0.003214945,0,0,0,0.001625615,0.001266724,0,0.000959093,0,0.000805279,0.004701878,0.006803977,0,0.001625617,0,0,0,0,0,0,0,0,0,0,0.000770413,0.00085648,0,0,0,0,0.000959093,0.018545023,0.641384288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001728157,0.000856689,0,0,0,0,0,0,0.00157434,0.002343408,0,0,0,0
0,5.66232386171147e-05,0,0,0,0,0.052998131,0,0.000792706,0,0,0,0,0.00939924,0,0,0,0,0,0.247947455,0,0,0.049714058,0,0,0,0,0,0,0.005492326,5.66103150389343e-05,0,0,0,0,0,0,0.000509601,0,0,0,0.000452975,0.000169893,0,0.00090595,0,0,0.002547985,0.000113243,0,0.001075816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113243,0.015797519,0.16267482,0,0,0,0,0.00016986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66200234206274e-05,0.448955326,0,0,0,0
0,0.00062566,0,0,0,0,0.001871267,0,0.009968345,0,0.000625569,0,0,0.012148333,0,0,0,0,0,0.000314135,0,0,0.05325659,0,0,0,0.005296921,0,0,0.02304824,0.00031362,0,0,0,0,0,0,0,0,0,0,0.280597705,0,0,0.008099787,0,0,0.001871259,0,0.000365736,0.000937001,0.000629733,0,0,0,0.000204518,0,0,0,0,0,0,0,0,0,0,0,0.001559842,0.296169015,0.294611883,0,0,0,0,0,0,0,0,0,0,0.000625304,0,0,0,0,0,0.004051282,0,0,0,0,0,0,0,0.001871267,0.000936988,0,0,0,0
0,0.000243458,0,0,0,0,8.11998936562277e-05,0,0.000486846,0,0,0,0,0.008031872,0,0,0,0,0,0.048028619,0,0,8.12000736710244e-05,0,0,0,0,0,8.115250816221e-05,0.019227716,0.000486854,0,0.000324588,0,0,0.003245209,0,0.000892498,0,0,0,0.012169466,0,0,0,0,0,0.002515078,0,0,0,0,0.005111223,0,0.000730191,0,8.12786897791605e-05,8.13892681863666e-05,0,0,0,0,0,0,0,0,0,0.000243459,0.010222363,0.521093594,0,0,0,0,0.000324581,0,0,0.002352818,0,0,0,0,0,0,0,0,0.033668735,0.000649121,0.002596263,0.000567963,0,0,0,7.89908273357607e-05,8.11995566994922e-05,0.301152049,0,0.025069027,0,0
0,0.001241705,0.000901828,0,0,0.000900778,0.002331478,0,0.001105593,0,0,0,0.000856056,0.013092024,0.00301252,0,0,0.000867377,0,0.385011931,0,0,0.015067064,0,0.000901321,0,0.001582336,0,0,0.011048885,0.000969398,0,0,0,0,0,0,0.001037483,0,0,0,0.054499698,0.000969331,0,0.01234287,0.000856539,0.006690173,0.001173691,0.003965994,0,0,0,0.000901314,0,0,0,0,0,0,0.002127172,0,0,0,0,0,0,0,0.060901542,0.159789603,0.125737241,0,0,0.001034451,0,0.001037557,0,0,0.001105471,0,0,0.001717044,0,0,0,0,0,0.002603919,0.000901995,0,0,0,0,0,0,0.001582321,0.110822306,0,0.001037492,0,0.063830057
